Block 6 (size 2299)
+-------+---------------------------+---------------------------------------------+------------+------------+-----------------------------------------+
|       | handle                    | display_name                                |   fs_count |   fg_count | description                             |
|-------+---------------------------+---------------------------------------------+------------+------------+-----------------------------------------|
| 11103 | vishal.bsky.social        | Vishal Gulia 🌞                             |       3459 |      22246 | Bluesky’s top memer,                    |
| 11118 | tho.bsky.social           | Thomas Pockrandt                            |       3196 |      22346 | Tech Advisor & Digit                    |
| 11117 | ryanhoulihan.bsky.social  | Ryan Houlihan 🧜                            |       2024 |       3619 | Non-binary, AuDHD, a                    |
|  8939 | cats.bsky.social          | Cat                                         |       2531 |      21028 | Cats lover                              |
| 11114 | miranda.bsky.social       | Miranda                                     |       2598 |      21302 | • Host• Writer• Cont                    |
| 10196 | shinyakato.dev            | Shinya Kato 🤯                              |       2703 |      22501 | Dart/Flutter & atpro                    |
|  8941 | nature.bsky.social        | Nature                                      |       2158 |      21052 | Travel Adventure Nat                    |
|  8940 | discovery.bsky.social     | Discovery                                   |       2022 |      21014 | Wonderful Places to                     |
|  3766 | run.bsky.social           | Adam James Pollock                          |       1195 |       3520 | writer, photographer                    |
|  1807 | glo.bsky.social           | Gloria Felicia                              |       1099 |        877 | Community Builder. S                    |
|  8710 | amazingca.dev             | caleb 2                                     |       1393 |      20494 | welcome to my alt, u                    |
|  5291 | jsonpreet.bestie.social   | Mr.Preet                                    |       1225 |      22234 | Founder of Pinsta.xy                    |
|  7509 | zetlorento.bsky.social    | Zet Lorento                                 |       1007 |        887 | 🔰Free and safe Inter                   |
| 10436 | thedogist.bsky.social     | Dogist                                      |       1075 |      15024 | The story of dogs.                      |
|  3007 | loffer.bsky.social        | Cristina Loffer #VIVAOSUS                   |       1052 |       7321 | https://twitter.com/                    |
|  5255 | anku.bestie.social        | ankit                                       |       1163 |      22323 | Nepal🇳🇵| 20 y/o | Ja                    |
|  2541 | blj.bsky.social           | Brendon Luke Jaramillo                      |        905 |       3228 | Political consultant                    |
|  2609 | msrodrigo.com             | rodrigo souza                               |       1092 |      20933 | macapaense, gemini,                     |
| 10254 | ymr.bsky.social           | Yomura                                      |       1112 |       5023 | 🍻                                      |
|  1759 | nelsonbeans.com           | Nelson Coffee Roaster ☕️ 🐱🎸🏍              |       1168 |      22211 | 宮城県仙台市青葉区小松島にある個人店「N |
|  7209 | mosesogunsanya.com        | Mosvin Bami                                 |        893 |      11391 | A Freelancer & remot                    |
|  1508 | cyphercat85.bsky.social   | cyphercat85                                 |        816 |       8109 |                                         |
|  4904 | petrh.bsky.social         | Petrh.eth | Petr                            |        725 |       2342 | Investor  | web3 ent                    |
|  9981 | tommilgate.com            | Thomas                                      |        727 |       4231 | e.g. Artist, dog-lov                    |
|  1231 | mediciners.org            | Anonymous Doctor                            |        642 |      19436 |                                         |
|  2169 | kry.bsky.social           | tommy                                       |        622 |      13232 | Hooman                                  |
|  4689 | cntero.bsky.social        | CEO of Memes 🕴🏻                            |        519 |       3062 | The original bluesky                    |
|  9934 | hilda.dog                 | hilda                                       |        813 |       3562 | BlueSky's first wien                    |
|   592 | alperen.bsky.social       | Alperen                                     |        477 |        603 | Tech, AI, blockchain                    |
|  5968 | artapp.bsky.social        | Art Appreciation ⓥ                          |        350 |        351 | First profile dedica                    |
|  4937 | hopelessmut.com           | Gabriel Caques                              |        373 |       3179 | Director at backbone                    |
|  3098 | hum-n.com                 | ;)                                          |        429 |       1484 | web3                                    |
|  5123 | czexmixdoteth.bsky.social | czexmix.eth                                 |        479 |       7144 | 🦊czexmixeth.substack                   |
|  3739 | sarbo.bsky.social         | sarbo                                       |        352 |        871 | in my eras eraon the                    |
| 11082 | rish.bsky.social          | Rish                                        |        224 |        213 | I love crafting, tec                    |
|  5821 | ccpj.bsky.social          | Pej Man                                    |        368 |       2099 | Microsoft Teams QoS,                    |
|  3184 | schrodinger.bsky.social   | ♨️Schr♾️dinger♨️                               |        285 |        785 | Bleating on 🇪🇺 - Wes                    |
|  3051 | snapchat.bsky.social      | Not Snapchat (not the app — this is Jordan) |        152 |       1662 | Your Favorite Lil’ O                    |
|  3278 | ozkan.bsky.social         | Özkan                                       |        227 |       1009 |                                         |
|  2857 | rui.bsky.social           | Rui                                         |        307 |       4377 |                                         |
|  3615 | kash.bsky.social          | Kash from #TaxGPT                           |        204 |        186 | 3x startup founder.                     |
|  5175 | jeddacp.me                | Jedda                                       |        145 |         45 | Product Technologist                    |
|  2604 | saganamery.bsky.social    | Sagan Amery                                 |        207 |        212 | Vocalist, guitarist,                    |
|   227 | greyngold.bsky.social     | GreyNGold                                   |        187 |       7529 | Financial advice com                    |
|  3263 | krassenstein.bsky.social  | Krassensteins                               |        146 |        624 | Independent Investig                    |
|  4732 | chadbourn.bsky.social     | Mark Chadbourn                              |        106 |        113 | 3x Sunday Times best                    |
|  6485 | tanerceran.bsky.social    |                                             |        258 |        637 |                                         |
|  6805 | robin.bsky.social         | Robin                                       |        184 |        201 | ig: zz_robin                            |
